time,REGIONS 35 I,extra_extra_exponent,extra_extra_normalisation_constant,total_radiative_forcing,coef,temperature_change,gross_domestic_product_nominal,average_disposable_income_per_capita,equation,damage
2038.0,INDIA,0.3307521312851283,26024.20580371497,3.231637672628386,0.3300284642749822,1.6623630465641197,2536386.0508354367,911.5068807219169,witness_tot_eq_witness_total_impact,13677.312485791701
2038.0,LATAM,0.3307521312851283,26024.20580371497,3.231637672628386,0.7184382810421982,1.6623630465641197,6030811.379912964,9575.989341468623,witness_tot_eq_witness_total_impact,70794.45219520786
2038.0,RUSSIA,0.3307521312851283,26024.20580371497,3.231637672628386,0.9094311754592027,1.6623630465641197,4097045.814258289,19530.875562775425,witness_tot_eq_witness_total_impact,60880.00409809382
2038.0,USMCA,0.3307521312851283,26024.20580371497,3.231637672628386,1.2339161479570822,1.6623630465641197,37528659.44557144,49132.81169199973,witness_tot_eq_witness_total_impact,756628.5314191774
2038.0,LROW,0.3307521312851283,26024.20580371497,3.231637672628386,0.5623905850535813,1.6623630465641197,19205040.8128247,4567.08896920711,witness_tot_eq_witness_total_impact,176476.66613436077
2039.0,BELGIUM,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.263192645308705,1.6900859020840102,1304877.725211484,66577.98431845776,witness_tot_eq_witness_total_impact,5804.763702094432
2039.0,BULGARIA,-0.8088043385999344,12780.892448153067,3.2781756400514053,1.3610948692094256,1.6900859020840102,90400.16764080584,8730.16611328323,witness_tot_eq_witness_total_impact,2079.690037235177
2039.0,CROATIA,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.9204919286700207,1.6900859020840102,91999.8573354853,14159.457629233992,witness_tot_eq_witness_total_impact,1431.3574976676257
2039.0,CYPRUS,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.7860946096985159,1.6900859020840102,26168.370376740993,17210.57500365024,witness_tot_eq_witness_total_impact,347.6902200825499
2039.0,CZECH REPUBLIC,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.5727064247769732,1.6900859020840102,448622.5126699054,25459.641615954148,witness_tot_eq_witness_total_impact,4342.642689044705
2039.0,DENMARK,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.24902757421247992,1.6900859020840102,747180.0984216057,71291.31156404459,witness_tot_eq_witness_total_impact,3144.949762656105
2039.0,ESTONIA,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.5927807304137838,1.6900859020840102,56274.19963883968,24397.95054695123,witness_tot_eq_witness_total_impact,563.8250708008864
2039.0,FINLAND,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.29925945066326365,1.6900859020840102,489988.8963953522,56803.082773052774,witness_tot_eq_witness_total_impact,2478.421064833247
2039.0,FRANCE,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.36974566420098554,1.6900859020840102,5076423.796658828,43732.34474823732,witness_tot_eq_witness_total_impact,31725.022579648823
2039.0,GERMANY,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.19343399592780258,1.6900859020840102,12346196.500240559,97428.72244217098,witness_tot_eq_witness_total_impact,40365.186830971674
2039.0,GREECE,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.9883199311972805,1.6900859020840102,220048.2920273174,12967.90466010834,witness_tot_eq_witness_total_impact,3675.839449779671
2039.0,HUNGARY,-0.8088043385999344,12780.892448153067,3.2781756400514053,1.1412383819350125,1.6900859020840102,188443.1780099316,10854.79036359291,witness_tot_eq_witness_total_impact,3634.9443622245512
2039.0,IRELAND,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.44778153816032196,1.6900859020840102,505975.41246067866,34512.824120750505,witness_tot_eq_witness_total_impact,3829.451517645909
2039.0,LATVIA,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.6685696247526016,1.6900859020840102,74426.35758750625,21025.611914758178,witness_tot_eq_witness_total_impact,841.0356112766797
2039.0,LITHUANIA,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.6891234021722221,1.6900859020840102,83808.28092917404,20253.01269084132,witness_tot_eq_witness_total_impact,976.1687705521564
2039.0,LUXEMBOURG,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.13787499423096367,1.6900859020840102,178060.09261779912,148079.606405264,witness_tot_eq_witness_total_impact,414.9474316509901
2039.0,POLAND,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.5945691953327468,1.6900859020840102,1502152.1213347008,24307.24510519367,witness_tot_eq_witness_total_impact,15095.840506105069
2039.0,PORTUGAL,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.652983536275937,1.6900859020840102,316255.6004642708,21647.84951916254,witness_tot_eq_witness_total_impact,3490.4501121434078
2039.0,SLOVAKIA,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.8235009650755392,1.6900859020840102,144326.76344227296,16249.255926640933,witness_tot_eq_witness_total_impact,2008.8706036834806
2039.0,SPAIN,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.8235443588696997,1.6900859020840102,1247257.0267276238,16248.197336293302,witness_tot_eq_witness_total_impact,17361.3676778097
2039.0,SWEDEN,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.2832423741348925,1.6900859020840102,1193555.361204417,60800.74481262715,witness_tot_eq_witness_total_impact,5714.02021488074
2039.0,UK,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.2031000099334986,1.6900859020840102,9367453.731921157,91728.38332320811,witness_tot_eq_witness_total_impact,32156.77448501963
2039.0,CHINA,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.6205263534835729,1.6900859020840102,45719639.25469596,23056.372221195208,witness_tot_eq_witness_total_impact,479516.9951362175
2039.0,EASOC,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.7238090294484558,1.6900859020840102,25748312.439543314,19059.92047693654,witness_tot_eq_witness_total_impact,315002.3150634649
2039.0,INDIA,-0.8088043385999344,12780.892448153067,3.2781756400514053,8.867312098950563,1.6900859020840102,2453845.603622311,860.4345076568227,witness_tot_eq_witness_total_impact,367773.3082358671
2039.0,LATAM,-0.8088043385999344,12780.892448153067,3.2781756400514053,1.262779128990108,1.6900859020840102,6059191.9948388,9578.129416546386,witness_tot_eq_witness_total_impact,129325.17892893043
2039.0,RUSSIA,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.6910000225307323,1.6900859020840102,4204631.531421214,20185.028959455973,witness_tot_eq_witness_total_impact,49107.404755935764
2039.0,USMCA,-0.8088043385999344,12780.892448153067,3.2781756400514053,0.3327392951626511,1.6900859020840102,38111041.54138673,49822.82191214013,witness_tot_eq_witness_total_impact,214336.3786504419
2039.0,LROW,-0.8088043385999344,12780.892448153067,3.2781756400514053,2.336737997066551,1.6900859020840102,19065012.215699185,4475.219500113294,witness_tot_eq_witness_total_impact,752988.0553810508
2040.0,BELGIUM,-1.2212253239603048,30916.297196594896,3.325827056565995,0.3684760142754127,1.7178980443306642,1373862.1216628004,70021.78129856195,witness_tot_eq_witness_total_impact,8847.779653468013
2040.0,BULGARIA,-1.2212253239603048,30916.297196594896,3.325827056565995,4.423965783919557,1.7178980443306642,94777.07292186448,9148.811990676179,witness_tot_eq_witness_total_impact,7328.19431745071
