Name,Variable sign ,Description,Unit,Status,Damage functions,Damage functions 2,Related equation,Zotero Source,Quantité (Damage functions),Sector,Module,Type,Scope,Formule (à partir de Damage functions),WILIAM name
Potential cumulative dryland loss without protection , C̅D , Potential cumulative dryland lost at time t in region r that would occur without protection , - ,,Potential dryland loss without protection,, Equation SLR.2,,1,,,Stock,,slr2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/jC6s6oYtmvep4UmaEevUUQ/J6n_pR6D6Vrek9tiQbVF0vOBQUEJACoil92vodZifCAlR89TAjIhKbwxS440mhw4J6LOxs0dHtNmkegp1UKTQEdoaWiwR3B4E0j2paUQPMNrxOlWKVdgpqqOgG9WtHEIvbrOBcGzdTxaEk01ECoNnA/PQEGNJwRi2erxUnS1O1EVhrWOZUTkUjdKLdyr6-71Rs),
Actual cumulative dryland loss , CD , Actual cumulative dryland lost at time t in region r , - ,,"Potential dryland loss without protection,Actual cumulative dryland loss",Actual cumulative dryland loss, Equation SLR.2,,2,Natural capital,Climate,Stock,Regional,"slr2.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/jC6s6oYtmvep4UmaEevUUQ/J6n_pR6D6Vrek9tiQbVF0vOBQUEJACoil92vodZifCAlR89TAjIhKbwxS440mhw4J6LOxs0dHtNmkegp1UKTQEdoaWiwR3B4E0j2paUQPMNrxOlWKVdgpqqOgG9WtHEIvbrOBcGzdTxaEk01ECoNnA/PQEGNJwRi2erxUnS1O1EVhrWOZUTkUjdKLdyr6-71Rs),slr4.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/ZNS6e4mibwsPtQWNIfkk5A/DH3WntqIDr2o-AFb5P6ICiDfm6V5fTofB6X6MNMF3Y3-x0IZcaY4fO43Ew9x2kWQ82nzqhX5E475qIYJ4HTEwAy4isKOOgyTdiQNEOwN2EEsvqpQxB4V-m9NokfVVtQJ9huH8FiQ_gSx3qJoP7gYmQ/fYQvz6wTgO99ttaFo0hy7tB4EmrGM5Zz9lT2pM9tGU4)",
Dryland loss in year , D , Dryland loss in year t and region r , - ,,Actual cumulative dryland loss,Actual dryland loss in the current year, Equation SLR.3,,1,,,Stock,,slr4.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/ZNS6e4mibwsPtQWNIfkk5A/DH3WntqIDr2o-AFb5P6ICiDfm6V5fTofB6X6MNMF3Y3-x0IZcaY4fO43Ew9x2kWQ82nzqhX5E475qIYJ4HTEwAy4isKOOgyTdiQNEOwN2EEsvqpQxB4V-m9NokfVVtQJ9huH8FiQ_gSx3qJoP7gYmQ/fYQvz6wTgO99ttaFo0hy7tB4EmrGM5Zz9lT2pM9tGU4),
Fraction of the coastline protected , P , Fraction of the coastline protected in year t and region r , - ,,Actual dryland loss in the current year,, Equation SLR.3,,1,,,Rate,,slr3.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/-S11h8p5bF_vWrdACOUXpg/YsqzwrG7T3KROwF5_BGi34cEFMeHcMTjMuSeE7Dc01Rg9qM69SB_7gYZktKNlgg_aymguAhTMCjC68o_WWBi9JtSxeOK0uek8Nxigx2TRUHC8MfQtok0tEKKMHymSigP1xMy_WitDGxhZPhkJz8IFQ/Dn34Mg10DAus6bdF1J2myWP04-gXESbp26ndJc_v2d4),
Income density , ξ , Income density , $/km² ,,Value of dryland,, Equation SLR.4,,1,GDP,Economy,Density,,slr5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/VvqXYmzBRNwNShrtJntcwA/xu4hp9aOALS0J7MUPEecR2tSMcz6GiH9HCnPv9bXew3yyMVnNaYnp7tlXt_ZPO5T3ImhKEy_HK2SH6mHWqm3_7yD8_0ROqBWAGoT0f6gNNelCfCFLyTBi1lf4O_1WsEzzWn061nUK2Fgb81HWZzz_g/aZm8jmoZ_U-rXu85j5yWE5oqx9Kawsy6qPKuuutvAPg),
Unit value of dryland , VD , Unit value of dryland at time t in region r , million dollar/km² ,,Value of dryland,Value of dryland, Equation SLR.5,,1,,,Stock,,slr5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/VvqXYmzBRNwNShrtJntcwA/xu4hp9aOALS0J7MUPEecR2tSMcz6GiH9HCnPv9bXew3yyMVnNaYnp7tlXt_ZPO5T3ImhKEy_HK2SH6mHWqm3_7yD8_0ROqBWAGoT0f6gNNelCfCFLyTBi1lf4O_1WsEzzWn061nUK2Fgb81HWZzz_g/aZm8jmoZ_U-rXu85j5yWE5oqx9Kawsy6qPKuuutvAPg),
GDP in region r at time t , Y , Total income at time t in region r , billion dollar ,,Value of dryland,, Equation SLR.5,,1,GDP,Economy,Stock,Regional,slr5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/VvqXYmzBRNwNShrtJntcwA/xu4hp9aOALS0J7MUPEecR2tSMcz6GiH9HCnPv9bXew3yyMVnNaYnp7tlXt_ZPO5T3ImhKEy_HK2SH6mHWqm3_7yD8_0ROqBWAGoT0f6gNNelCfCFLyTBi1lf4O_1WsEzzWn061nUK2Fgb81HWZzz_g/aZm8jmoZ_U-rXu85j5yWE5oqx9Kawsy6qPKuuutvAPg),
Area , A , Area at time t of region r , square kilometre ,,Value of dryland,, Equation SLR.5,,1,,,Stock,,slr5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/VvqXYmzBRNwNShrtJntcwA/xu4hp9aOALS0J7MUPEecR2tSMcz6GiH9HCnPv9bXew3yyMVnNaYnp7tlXt_ZPO5T3ImhKEy_HK2SH6mHWqm3_7yD8_0ROqBWAGoT0f6gNNelCfCFLyTBi1lf4O_1WsEzzWn061nUK2Fgb81HWZzz_g/aZm8jmoZ_U-rXu85j5yWE5oqx9Kawsy6qPKuuutvAPg),
Parameter , φ , Parameter with value 4 million dollar per square kilometre , million dollar/km² ,,Value of dryland,, Equation SLR.5,,1,,,Parameter,,slr5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/VvqXYmzBRNwNShrtJntcwA/xu4hp9aOALS0J7MUPEecR2tSMcz6GiH9HCnPv9bXew3yyMVnNaYnp7tlXt_ZPO5T3ImhKEy_HK2SH6mHWqm3_7yD8_0ROqBWAGoT0f6gNNelCfCFLyTBi1lf4O_1WsEzzWn061nUK2Fgb81HWZzz_g/aZm8jmoZ_U-rXu85j5yWE5oqx9Kawsy6qPKuuutvAPg),
Normalisation constant , YA₀ , Normalisation constant with value 0.635 million dollar per square kilometre , million dollar/km² ,,Value of dryland,, Equation SLR.5,,1,,,Parameter,,slr5.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/VvqXYmzBRNwNShrtJntcwA/xu4hp9aOALS0J7MUPEecR2tSMcz6GiH9HCnPv9bXew3yyMVnNaYnp7tlXt_ZPO5T3ImhKEy_HK2SH6mHWqm3_7yD8_0ROqBWAGoT0f6gNNelCfCFLyTBi1lf4O_1WsEzzWn061nUK2Fgb81HWZzz_g/aZm8jmoZ_U-rXu85j5yWE5oqx9Kawsy6qPKuuutvAPg),
Parameter , ε , Parameter with value 1 , - ,,,, Equation SLR.5,,0,,,Parameter,,,
Wetland loss at time , W , Wetland loss at time t in region r , - ,,Cumulative wetland loss,Wetland loss, Equation SLR.6,,1,,,Stock,,slr7.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/udBgElbyLPcoGrXXWUJxuw/fnn_6qdS-4Z4oaFWr0zMPXx-BP826v09BbSaFW0qL45e78k9-c-5EMt6Ba_FJBSf45VpeRX-779kdlpW1oLzeR52ij-cIIbiwUTPymtvNJJIs-2y7af_Xe9Q7P1OMI7TdwUIZvHaLtBUvODJFS8zOg/DCtQt_NP64o6w8JuD6ltA4I5Bim6o5R4R_WHA2ck3Kk),
Fraction of coast protected against sea level rise , P , Fraction of coast protected against sea level rise at time t in region r , - ,,Wetland loss,, Equation SLR.6,,1,,,Rate,,slr6.png (https://v5.airtableusercontent.com/v3/u/30/30/1720108800000/BawaF6JlWrf1XTTF8NAAkg/YAz0UaQDuZXuMZY_9uUzxj5IQgvRUY9nFKxWrGr6iXUACJmJ8ZIbs66DUA0EhiwvgAyNCKOFZMn-Nw1Ya3t-QDAGVv9djxGDY6T_Ph8Da2XayrOcizVqHTNjHYwZuMB4Oeg054usWv0W8bJ8qoO2sA/wZp-ECHMl2BuPltu44tsFaqrvMW54DOdz3-OvlP_0iE),
