Name,Equation number,Model - old table,Model,Input variable,Output variables,Equation shape,Equation form,Zotero reference,IPCC risks,Input categories,Output categories,Latex fragment,Vensim,Vensim name,Number of equations
Potential dryland loss without protection,SLR.2,FUND v.3.8,FUND v.3.8,"Potential cumulative dryland loss without protection ,Actual cumulative dryland loss ",Potential dryland loss without protection ,,Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=U2LKEDGJ))  ,Loss in terrestrial ecosystem,", Natural capital",,"\overline{{{D}}}_{t,r}=\overline{{{C D}}}_{t,r}-C D_{t-1,r}",Oui,,
Actual dryland loss in the current year,SLR.3,FUND v.3.8,FUND v.3.8,"Fraction of the coastline protected ,Potential dryland loss without protection ",Dryland loss in year ,,Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=XPNAQZ8K))  ,Loss in terrestrial ecosystem,,,"D_{t,r}=\left(1-P_{t,r}\right)\overline{{{D}}}_{t,r}",Oui,,
Actual cumulative dryland loss,SLR.4,FUND v.3.8,FUND v.3.8,"Actual cumulative dryland loss ,Dryland loss in year ",Actual cumulative dryland loss ,,Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=62EHGDDF))  ,Loss in terrestrial ecosystem,"Natural capital, ",Natural capital,"{\cal C}D_{t,r}=C D_{t-1,r}+D_{t,r}",Oui,,
Value of dryland,SLR.5,FUND v.3.8,FUND v.3.8,"Time,Region,Unit value of dryland ,GDP in region r at time t ,Area ,Parameter ,Normalisation constant ,Income density ",Unit value of dryland ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=11&annotation=C2QI8ZFD))  ,Loss in terrestrial ecosystem,", GDP",,"V D_{t,r}=\varphi\!\left({\frac{Y_{t,r}/A_{t,r}}{Y A_{0}}}\right)^{\!\!6}",Oui,,
Wetland loss,SLR.6,FUND v.3.8,FUND v.3.8,"Time,Region,Fraction of coast protected against sea level rise ,Sea level rise above pre-industrial levels ,Parameter for annual unit wetland loss due to sea level rise ,Parameter for annual unit wetland loss due to coastal squeeze ",Wetland loss at time ,,Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=IICHUVN9))  ,Loss in freshwater ecosystem,", Sea level rise",,"\widehat{\mathcal{W}_{t,r^{\prime}}}\longrightarrow C\mathcal{O}_{r^{\prime}}^{S}\triangle\mathsf{A}_{t}\dots C\mathcal{O}_{r^{\prime}}^{M}\mathcal{D}_{t,r^{\prime}}\triangle\mathsf{A}_{t}",Oui,,
Cumulative wetland loss,SLR.7,FUND v.3.8,FUND v.3.8,"Cumulative wetland loss ,Total amount of wetland exposed to sea level rise ,Wetland loss at time ",Cumulative wetland loss at time ,,Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=E9BCWYSC))  ,Loss in freshwater ecosystem,,,"{\mathcal W}_{t,r}^{C}\ --\left.\mathrm{Im}^{*}\!\right.\left(\left.{\mathcal W}_{t-1,r}^{C}\right.\rightarrow\mathcal W\right._{t-1,r}^{}\left.\!-\frac{}{}_{,r}\right.\mathcal W\right._{r}^{}\frac{\lambda}{\sqrt{}_{r}^{}}\right)",Oui,,
Wetland value,SLR.8,FUND v.3.8,FUND v.3.8,"Time,Region,Gross domestic product per capita,Population density ,Cumulative wetland loss at time ,Total amount of wetlands in 1990 ,Income elasticity of wetland value ,Normalisation constant ,Normalisation constant ,Population density elasticity of wetland value ,Size elasticity of wetland value ",Wetland value at time ,,Elasticity,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=12&annotation=RZLH5GJG))  ,Loss in freshwater ecosystem,", GDP, Population",,"V W_{t,r}=\alpha\left(\frac{y_{t,r}}{y_{0}}\right)^{\beta}\left(\frac{d_{t,r}}{d_{0}}\right)^{\gamma}\left(\frac{W_{1990,r}-W_{t,r}^{C}}{W_{1990,r}}\right)^{\delta}",Oui,,
Level of protection,SLR.9,FUND v.3.8,FUND v.3.8,"Net present value of protection if whole coast is protected ,Net present value of the wetlands lost due to full coastal protection ,Net present value of land lost without any coastal protection ,Net present value of wetland lost due to coastal squeeze if whole coast is protected ",Fraction of coastline to be protected ,,Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=13&annotation=T5RHM6IP))  ,Coastal flooding / storm,,,"P_{t,r}=\operatorname*{max}\left\{0,1-\frac{1}{2}\left(\frac{\mathrm{NPV}V P_{t,r}+\mathrm{NPV}V W_{t,r}}{\mathrm{NPV}V D_{t,r}}\right)\right\}",Oui,,
Net present cost of protection,SLR.10,FUND v.3.8,FUND v.3.8,"Time,Region,Annual unit cost of coastal protection ,Sea level rise above pre-industrial levels ,Growth rate of per capita income ,Rate of pure time preference ,Consumption elasticity of marginal utility ",Net present costs of coastal protection at time ,,Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=14&annotation=MW95T7K8))  ,Coastal flooding / storm,", Sea level rise, GDP, Parameter, Consumption",,"\mathrm{NPV}{\cal P}_{t,r}=\sum_{s=t}^{\circ}\Biggl(\frac{1}{1+\rho+\eta g_{t,r}}\Biggr)^{s-t}\pi_{r}\Delta S_{t}=\frac{1+\rho+\eta g_{t,r}}{\rho+\eta g_{t,r}}\pi_{r}\Delta S_{t,s}",Oui,,
Net present cost of wetland loss,SLR.11,FUND v.3.8,FUND v.3.8,"Time,Region,Annual unit wetland loss due to full coastal protection ,Sea level rise above pre-industrial levels ,Growth rate of per capita income ,Population growth rate ,Growth rate of wetland ,Rate of pure time preference ,Consumption elasticity of marginal utility ,Income elasticity of wetland value ,Population density elasticity of wetland value ,Size elasticity of wetland value ",Net present value of wetland loss at time ,,Linear,[image] ([pdf](zotero://open-pdf/library/items/4PTUKAWE?page=14&annotation=Z6DEIBXE))  ,Loss in freshwater ecosystem,", Natural capital, Sea level rise, GDP, Population, Parameter, Consumption",,"\left.N P V V W_{t,r}=\sum_{s=t}^{r}W_{t,r}V W_{s,r}\left(\frac{1}{1+\rho+\eta g_{t,r}}\right)^{s-t}=",Oui,,
