WILIAM region,WILIAM code,FUND code,FUND region,Country,ISO
Rest of the world,LROW,SSA,Sub-Saharan Africa, Gabon,GAB
Rest of the world,LROW,SSA,Sub-Saharan Africa, Gambia,GMB
Rest of the world,LROW,SSA,Sub-Saharan Africa, Ghana,GHA
Rest of the world,LROW,SSA,Sub-Saharan Africa, Guinea,GIN
Rest of the world,LROW,SSA,Sub-Saharan Africa, Guinea- Bissau,GNB
Rest of the world,LROW,SSA,Sub-Saharan Africa, Kenya,KEN
Rest of the world,LROW,SSA,Sub-Saharan Africa, Lesotho,LSO
Rest of the world,LROW,SSA,Sub-Saharan Africa, Liberia,LBR
Rest of the world,LROW,SSA,Sub-Saharan Africa, Madagascar,MDG
Rest of the world,LROW,SSA,Sub-Saharan Africa, Malawi,MWI
Rest of the world,LROW,SSA,Sub-Saharan Africa, Mali,MLI
Rest of the world,LROW,SSA,Sub-Saharan Africa, Mauritania,MRT
Rest of the world,LROW,SSA,Sub-Saharan Africa, Mozambique,MOZ
Rest of the world,LROW,SSA,Sub-Saharan Africa, Namibia,NAM
Rest of the world,LROW,SSA,Sub-Saharan Africa, Niger,NER
Rest of the world,LROW,SSA,Sub-Saharan Africa, Nigeria,NGA
Rest of the world,LROW,SSA,Sub-Saharan Africa, Rwanda,RWA
Rest of the world,LROW,SSA,Sub-Saharan Africa, Senegal,SEN
Rest of the world,LROW,SSA,Sub-Saharan Africa, Sierra Leone,SLE
Rest of the world,LROW,SSA,Sub-Saharan Africa, Somalia,SOM
Rest of the world,LROW,SSA,Sub-Saharan Africa, South Africa,ZAF
Rest of the world,LROW,SSA,Sub-Saharan Africa, South Africa,ZAF
Rest of the world,LROW,SSA,Sub-Saharan Africa, South Africa,ZAF
Rest of the world,LROW,SSA,Sub-Saharan Africa, South Africa,ZAF
Rest of the world,LROW,SSA,Sub-Saharan Africa, Sudan,SDN
Rest of the world,LROW,SSA,Sub-Saharan Africa, Swaziland,
Rest of the world,LROW,SSA,Sub-Saharan Africa, Tanzania,TZA
Rest of the world,LROW,SSA,Sub-Saharan Africa, Togo,TGO
Rest of the world,LROW,SSA,Sub-Saharan Africa, Uganda,UGA
Rest of the world,LROW,SSA,Sub-Saharan Africa, Zambia,ZMB
Rest of the world,LROW,SSA,Sub-Saharan Africa, Zimbabwe,ZWE
Rest of the world,LROW,SIS,Small Island States,Antigua and Barbuda,ATG
Rest of the world,LROW,SIS,Small Island States, Aruba,ABW
Rest of the world,LROW,SIS,Small Island States, Bahamas,BHS
Rest of the world,LROW,SIS,Small Island States, Barbados,BRB
Rest of the world,LROW,SIS,Small Island States, Bermuda,BMU
Rest of the world,LROW,SIS,Small Island States, Comoros,COM
Rest of the world,LROW,SIS,Small Island States, Cuba,CUB
Rest of the world,LROW,SIS,Small Island States, Dominica,DMA
Rest of the world,LROW,SIS,Small Island States, Dominican Republic,DOM
Rest of the world,LROW,SIS,Small Island States, Fiji,FJI
Rest of the world,LROW,SIS,Small Island States, French Polynesia,PYF
Rest of the world,LROW,SIS,Small Island States, Grenada,GRD
Rest of the world,LROW,SIS,Small Island States, Guadeloupe,GLP
Rest of the world,LROW,SIS,Small Island States, Haiti,HTI
Rest of the world,LROW,SIS,Small Island States, Jamaica,JAM
Rest of the world,LROW,SIS,Small Island States, Kiribati,KIR
Rest of the world,LROW,SIS,Small Island States, Maldives,MDV
Rest of the world,LROW,SIS,Small Island States, Marshall Islands,MHL
Rest of the world,LROW,SIS,Small Island States, Martinique,MTQ
Rest of the world,LROW,SIS,Small Island States, Mauritius,MUS
Rest of the world,LROW,SIS,Small Island States, Micronesia,FSM
Rest of the world,LROW,SIS,Small Island States, Nauru,NRU
European Union,EU27,SIS,Small Island States, Netherlands Antilles,NLD
Rest of the world,LROW,SIS,Small Island States, New Caledonia,NCL
Rest of the world,LROW,SIS,Small Island States, Palau,PLW
Rest of the world,LROW,SIS,Small Island States, Puerto Rico,PRI
Rest of the world,LROW,SIS,Small Island States, Reunion,REU
Rest of the world,LROW,SIS,Small Island States, Samoa,WSM
Rest of the world,LROW,SIS,Small Island States, Sao Tome and Principe,STP
Rest of the world,LROW,SIS,Small Island States, Seychelles,SYC
Rest of the world,LROW,SIS,Small Island States, Solomon Islands,SLB
Rest of the world,LROW,SIS,Small Island States, St Kitts and Nevis,KNA
Rest of the world,LROW,SIS,Small Island States, St Lucia,LCA
Rest of the world,LROW,SIS,Small Island States, St Vincent and Grenadines,VCT
Rest of the world,LROW,SIS,Small Island States, Tonga,TON
Rest of the world,LROW,SIS,Small Island States, Trinidad and Tobago,TTO
Rest of the world,LROW,SIS,Small Island States, Tuvalu,TUV
Rest of the world,LROW,SIS,Small Island States, Vanuatu,VUT
Rest of the world,LROW,SIS,Small Island States, Virgin Islands,VIR
